epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2248.63,0.83566,1.64754,2.8896,0.01283,2.05065,0.65625,0.47321,0.53842,0.44478,0.65778,0.47101,0.53868,0.38391,0.77704,1.57484,1.51807,0.02552,0,0.00039854,0.00039854,0.0671869
2,4649.49,0.81065,1.23212,1.46678,0.01266,0.73066,0.69964,0.68815,0.76678,0.62045,0.70905,0.6971,0.77214,0.61498,0.71478,0.98524,0.96801,0.02429,0,0.000798417,0.000798417,0.0342534
3,6780.99,0.78929,1.16422,1.20777,0.01242,0.56574,0.7998,0.7479,0.8628,0.75808,0.81397,0.76293,0.88313,0.7356,0.57269,0.8285,0.74422,0.01812,0,0.0011978,0.0011978,0.00131946
4,9028.95,0.77195,1.12788,1.09245,0.01199,0.45375,0.80655,0.81633,0.84632,0.74875,0.8206,0.8248,0.85976,0.73185,0.54527,0.74056,0.62115,0.01694,0,0.00119834,0.00119834,0.00119834
5,11152.8,0.72705,1.10818,1.01279,0.01103,0.40737,0.81141,0.76372,0.82637,0.70692,0.84405,0.80098,0.88712,0.69691,0.61887,0.82592,0.74068,0.0202,0,0.00119704,0.00119704,0.00119704
6,609.702,0.73755,1.11845,1.00032,0.01073,0.41994,0.83646,0.83693,0.9223,0.83798,0.84531,0.84466,0.93091,0.81181,0.48989,0.66195,0.48001,0.01496,0,0.00119538,0.00119538,0.00119538
7,1279.3,0.69002,1.03988,0.92161,0.00992,0.36332,0.9041,0.84846,0.93066,0.85461,0.91475,0.85799,0.94166,0.81465,0.46391,0.75109,0.45475,0.01424,0,0.00119335,0.00119335,0.00119335
8,1768.24,0.66124,0.98626,0.84133,0.00962,0.31571,0.88986,0.86915,0.89929,0.83434,0.90006,0.87566,0.90832,0.79961,0.4306,0.65692,0.45621,0.01313,0,0.00119096,0.00119096,0.00119096
9,2328.84,0.64126,0.97836,0.80293,0.00918,0.29526,0.88724,0.8626,0.92754,0.86551,0.89648,0.87776,0.93831,0.83138,0.40487,0.6671,0.46034,0.01245,0,0.0011882,0.0011882,0.0011882
10,2865.14,0.6274,0.99004,0.76728,0.00887,0.27963,0.9117,0.86616,0.93544,0.85801,0.91946,0.87417,0.94422,0.8244,0.44323,0.67769,0.48717,0.01385,0,0.00118508,0.00118508,0.00118508
11,3286.91,0.62065,0.94054,0.7603,0.00877,0.26676,0.92776,0.84515,0.90889,0.8455,0.94261,0.85211,0.91703,0.80345,0.41901,0.60267,0.43588,0.01268,0,0.0011816,0.0011816,0.0011816
12,3774.01,0.62678,0.94855,0.75214,0.00899,0.25805,0.90911,0.85577,0.94306,0.86259,0.92089,0.86642,0.95098,0.85565,0.45193,0.66366,0.41617,0.01512,0,0.00117776,0.00117776,0.00117776
13,4233.63,0.60374,0.95912,0.70726,0.00866,0.24089,0.90617,0.92844,0.94988,0.88992,0.91497,0.94118,0.96079,0.8704,0.41783,0.58387,0.37852,0.01278,0,0.00117357,0.00117357,0.00117357
14,4691.92,0.596,0.90397,0.68517,0.00846,0.23286,0.90786,0.9149,0.95662,0.8965,0.92397,0.92506,0.96868,0.86401,0.40685,0.60256,0.39383,0.01253,0,0.00116903,0.00116903,0.00116903
15,5094.21,0.60045,0.90838,0.68931,0.00857,0.22834,0.92855,0.92218,0.96195,0.90988,0.94393,0.91744,0.96937,0.87974,0.37992,0.56514,0.326,0.01176,0,0.00116413,0.00116413,0.00116413
16,5440.31,0.57932,0.90475,0.65744,0.00814,0.21546,0.9,0.92922,0.94707,0.88484,0.90661,0.9359,0.95368,0.86736,0.39858,0.59019,0.39514,0.01277,0,0.00115889,0.00115889,0.00115889
17,5753.47,0.56733,0.88604,0.64801,0.00798,0.21401,0.94474,0.93555,0.96177,0.91099,0.95034,0.94146,0.96798,0.8766,0.38075,0.55795,0.32339,0.01151,0,0.00115331,0.00115331,0.00115331
18,6235.52,0.56745,0.87594,0.63878,0.00802,0.20923,0.921,0.93385,0.95655,0.90893,0.92705,0.93968,0.9614,0.86725,0.35631,0.56208,0.34118,0.01084,0,0.0011474,0.0011474,0.0011474
19,6825.22,0.5729,0.87624,0.6426,0.008,0.21437,0.93575,0.91735,0.95337,0.89956,0.94234,0.92185,0.96228,0.86857,0.37664,0.57564,0.38641,0.01159,0,0.00114114,0.00114114,0.00114114
20,7275.62,0.55672,0.88179,0.59624,0.00781,0.19617,0.93828,0.94531,0.96667,0.91563,0.9402,0.94871,0.9703,0.8892,0.38979,0.55116,0.31005,0.01179,0,0.00113456,0.00113456,0.00113456
21,7590.53,0.54659,0.86431,0.61523,0.00761,0.19975,0.93666,0.93351,0.96446,0.92078,0.94753,0.92817,0.96822,0.87687,0.3661,0.55979,0.3125,0.01117,0,0.00112765,0.00112765,0.00112765
22,8099.82,0.54739,0.84643,0.58129,0.00773,0.19137,0.94001,0.92083,0.96411,0.91336,0.94763,0.9263,0.96863,0.875,0.37124,0.58996,0.32971,0.01163,0,0.00112043,0.00112043,0.00112043
23,8602.31,0.54289,0.84508,0.58434,0.00769,0.1839,0.9253,0.94358,0.95647,0.90956,0.93044,0.94836,0.96264,0.87778,0.37737,0.53057,0.32307,0.01199,0,0.00111288,0.00111288,0.00111288
24,9075.89,0.539,0.84198,0.58885,0.00767,0.18422,0.92282,0.94541,0.96206,0.9202,0.92808,0.95062,0.96657,0.88317,0.37611,0.54153,0.31332,0.01179,0,0.00110503,0.00110503,0.00110503
25,9471.18,0.54014,0.8573,0.5865,0.00753,0.19245,0.94637,0.93337,0.95731,0.91892,0.95423,0.94205,0.96346,0.87152,0.35679,0.54572,0.30174,0.0112,0,0.00109687,0.00109687,0.00109687
26,9839.73,0.52401,0.82982,0.5419,0.00723,0.17921,0.94201,0.93253,0.9624,0.93029,0.9528,0.94301,0.97067,0.88846,0.32302,0.55211,0.30616,0.00971,0,0.00108841,0.00108841,0.00108841
27,10173.4,0.53428,0.84433,0.54614,0.00746,0.17256,0.94452,0.92821,0.96124,0.92589,0.9486,0.93388,0.9666,0.88777,0.33144,0.53878,0.31154,0.01028,0,0.00107966,0.00107966,0.00107966
28,10530.5,0.51599,0.83704,0.54521,0.00708,0.1722,0.95413,0.91839,0.96327,0.92802,0.95117,0.92748,0.96774,0.88695,0.35421,0.54443,0.29394,0.01105,0,0.00107062,0.00107062,0.00107062
29,11076,0.51433,0.81068,0.53232,0.00717,0.1683,0.93912,0.94189,0.97352,0.93976,0.94364,0.94764,0.97668,0.89207,0.31872,0.52587,0.29789,0.00946,0,0.0010613,0.0010613,0.0010613
30,11646.6,0.51287,0.82052,0.51791,0.00708,0.1622,0.94495,0.93244,0.96795,0.94033,0.95449,0.9395,0.97363,0.90067,0.29655,0.51281,0.29566,0.00914,0,0.0010517,0.0010517,0.0010517
31,12122.7,0.50651,0.82346,0.52697,0.007,0.16348,0.93879,0.94561,0.96396,0.93326,0.9506,0.94529,0.96879,0.8915,0.31342,0.52975,0.29454,0.00933,0,0.00104184,0.00104184,0.00104184
32,12588.1,0.49309,0.78678,0.51548,0.00671,0.15963,0.9365,0.93909,0.96678,0.927,0.94282,0.94488,0.97075,0.88809,0.34558,0.52329,0.29867,0.01073,0,0.00103171,0.00103171,0.00103171
33,13162.7,0.50211,0.78427,0.51586,0.00685,0.15919,0.94385,0.9194,0.9637,0.92385,0.95092,0.92624,0.96877,0.89967,0.3496,0.52981,0.30377,0.01111,0,0.00102133,0.00102133,0.00102133
34,13553.5,0.50731,0.80076,0.51676,0.00689,0.15829,0.95835,0.93855,0.96237,0.9135,0.96319,0.94337,0.96865,0.89338,0.37863,0.52263,0.3036,0.01279,0,0.0010107,0.0010107,0.0010107
35,13940.4,0.48855,0.77007,0.49381,0.00666,0.15301,0.93656,0.91915,0.96013,0.92944,0.93814,0.93129,0.96682,0.89002,0.323,0.53328,0.28596,0.00996,0,0.000999833,0.000999833,0.000999833
36,14359.5,0.49523,0.78217,0.50848,0.00679,0.15619,0.94627,0.95116,0.9661,0.93432,0.95058,0.9562,0.97125,0.89064,0.29857,0.52036,0.26703,0.00889,0,0.000988731,0.000988731,0.000988731
37,14809.8,0.49551,0.7823,0.50516,0.00669,0.1609,0.94957,0.93648,0.96182,0.92023,0.95494,0.94186,0.96688,0.89143,0.33802,0.51705,0.30046,0.01073,0,0.000977404,0.000977404,0.000977404
38,15172.1,0.48049,0.80241,0.48937,0.00659,0.1548,0.9454,0.93264,0.95837,0.92068,0.94972,0.93991,0.96435,0.8877,0.34266,0.53386,0.2858,0.01056,0,0.000965859,0.000965859,0.000965859
39,15590.9,0.47588,0.77628,0.48046,0.00651,0.15137,0.96113,0.9265,0.96946,0.94384,0.96607,0.93157,0.975,0.9019,0.30493,0.49983,0.25704,0.00928,0,0.000954105,0.000954105,0.000954105
40,15954.9,0.47633,0.75769,0.47455,0.00642,0.14452,0.95367,0.93223,0.96986,0.9441,0.95854,0.93719,0.97504,0.90429,0.31305,0.50849,0.25394,0.0094,0,0.000942149,0.000942149,0.000942149
41,16381.1,0.47077,0.74754,0.45859,0.00629,0.1449,0.95767,0.93917,0.9684,0.93949,0.96225,0.94431,0.97372,0.90442,0.32456,0.51259,0.26431,0.01004,0,0.00093,0.00093,0.00093
42,16785.8,0.46401,0.74766,0.45354,0.00632,0.13599,0.95182,0.9534,0.97186,0.93942,0.95647,0.95941,0.97633,0.90869,0.30718,0.51121,0.26287,0.00943,0,0.000917666,0.000917666,0.000917666
43,17301.9,0.46168,0.7402,0.4379,0.00623,0.13152,0.95534,0.95222,0.97109,0.94069,0.96007,0.96102,0.97559,0.89762,0.28711,0.52496,0.27625,0.0084,0,0.000905155,0.000905155,0.000905155
44,17676.8,0.45582,0.75248,0.45719,0.00625,0.13945,0.95441,0.94573,0.97086,0.94618,0.95969,0.95181,0.97482,0.90799,0.28326,0.50255,0.25962,0.00847,0,0.000892476,0.000892476,0.000892476
45,18087.4,0.45386,0.73583,0.4462,0.00619,0.1312,0.94929,0.96152,0.97605,0.94978,0.97073,0.95026,0.98103,0.90311,0.28486,0.50566,0.24748,0.00851,0,0.000879638,0.000879638,0.000879638
46,18562,0.44826,0.73512,0.43065,0.00612,0.12948,0.94252,0.96344,0.96936,0.9416,0.94809,0.9704,0.97524,0.89964,0.28323,0.50159,0.2556,0.00832,0,0.000866649,0.000866649,0.000866649
47,18961.9,0.45039,0.73601,0.43501,0.00603,0.13206,0.95685,0.95613,0.97329,0.94944,0.96088,0.96636,0.97614,0.90259,0.28592,0.50292,0.23512,0.00867,0,0.000853519,0.000853519,0.000853519
48,19386.9,0.44699,0.7247,0.41895,0.00607,0.12322,0.95579,0.95062,0.96601,0.93708,0.96049,0.95532,0.97079,0.89854,0.28245,0.50434,0.27676,0.00869,0,0.000840256,0.000840256,0.000840256
49,19776.6,0.44333,0.74152,0.4308,0.00591,0.13002,0.92731,0.95719,0.97166,0.94705,0.93263,0.96229,0.97704,0.91158,0.28323,0.49585,0.25215,0.00874,0,0.000826869,0.000826869,0.000826869
50,20182.8,0.44026,0.72043,0.4221,0.00593,0.12503,0.94736,0.95966,0.96952,0.94615,0.95529,0.9639,0.97576,0.91248,0.27341,0.49492,0.2375,0.00835,0,0.000813368,0.000813368,0.000813368
51,20564.3,0.42986,0.70856,0.41287,0.00566,0.13066,0.96358,0.95371,0.97022,0.9449,0.96768,0.9579,0.97433,0.90521,0.28987,0.50503,0.26197,0.00877,0,0.000799762,0.000799762,0.000799762
52,21014.9,0.42948,0.71537,0.39869,0.00582,0.11496,0.96335,0.95426,0.97394,0.94845,0.96799,0.95881,0.97944,0.91399,0.28113,0.49549,0.24916,0.00864,0,0.00078606,0.00078606,0.00078606
53,21391.9,0.42589,0.69541,0.40827,0.00567,0.1183,0.94567,0.95745,0.9707,0.94886,0.96216,0.95116,0.97509,0.91133,0.27838,0.49464,0.24172,0.00851,0,0.000772272,0.000772272,0.000772272
54,21739.1,0.43095,0.73049,0.4132,0.0058,0.12267,0.95687,0.96017,0.97027,0.94332,0.96133,0.96469,0.97436,0.90497,0.2755,0.50648,0.24453,0.0082,0,0.000758407,0.000758407,0.000758407
55,22146.7,0.42002,0.71535,0.40074,0.00553,0.12072,0.96498,0.95423,0.96947,0.94896,0.97069,0.96009,0.97615,0.91113,0.2482,0.50533,0.23048,0.00719,0,0.000744475,0.000744475,0.000744475
56,22533.3,0.42448,0.71923,0.39849,0.00571,0.1191,0.9496,0.95159,0.96757,0.94379,0.95556,0.95855,0.97232,0.90464,0.26906,0.49255,0.2618,0.00811,0,0.000730484,0.000730484,0.000730484
57,22905.4,0.42096,0.70671,0.39379,0.00556,0.11472,0.96279,0.94411,0.97084,0.94764,0.96745,0.94708,0.97787,0.9079,0.25185,0.49424,0.23146,0.00731,0,0.000716445,0.000716445,0.000716445
58,23297.5,0.41737,0.67839,0.37381,0.00545,0.10943,0.96512,0.95074,0.97207,0.95136,0.97106,0.95817,0.97717,0.9139,0.26005,0.49605,0.23626,0.00775,0,0.000702368,0.000702368,0.000702368
59,23839.2,0.41603,0.68988,0.37693,0.00551,0.11332,0.95558,0.95942,0.97096,0.94876,0.96064,0.96498,0.97654,0.91074,0.2602,0.49686,0.22921,0.00774,0,0.000688261,0.000688261,0.000688261
60,24234.8,0.4036,0.66585,0.36188,0.0054,0.10611,0.95714,0.96406,0.97208,0.95138,0.96201,0.96849,0.97619,0.91473,0.24996,0.48899,0.23386,0.0074,0,0.000674136,0.000674136,0.000674136
61,24654.4,0.41478,0.7,0.36484,0.0055,0.11249,0.95739,0.9486,0.97384,0.95,0.96281,0.95366,0.97851,0.91413,0.26623,0.4917,0.24063,0.00805,0,0.00066,0.00066,0.00066
62,25010,0.4083,0.67666,0.36365,0.00544,0.10594,0.95401,0.94961,0.96945,0.94881,0.95954,0.95506,0.97555,0.90968,0.25108,0.50212,0.2408,0.00736,0,0.000645864,0.000645864,0.000645864
63,25412.6,0.40101,0.68529,0.35611,0.00533,0.10559,0.95293,0.94591,0.97013,0.94693,0.95817,0.95112,0.97506,0.91096,0.25866,0.48883,0.24047,0.0077,0,0.000631739,0.000631739,0.000631739
64,25803.4,0.41028,0.68438,0.35407,0.00541,0.10362,0.95428,0.95856,0.97474,0.95149,0.95978,0.96403,0.97985,0.92013,0.2618,0.48996,0.224,0.00788,0,0.000617632,0.000617632,0.000617632
65,26200.7,0.3998,0.68389,0.35135,0.00527,0.10727,0.96302,0.96055,0.97087,0.95283,0.96813,0.96571,0.97653,0.91679,0.24855,0.48071,0.21835,0.00737,0,0.000603555,0.000603555,0.000603555
66,26575.8,0.39907,0.6905,0.3664,0.00521,0.10814,0.96188,0.95041,0.971,0.94995,0.96722,0.95556,0.97537,0.91111,0.24975,0.4846,0.23787,0.00751,0,0.000589516,0.000589516,0.000589516
67,26994.4,0.38685,0.65461,0.33635,0.00513,0.10078,0.96316,0.95216,0.97372,0.95204,0.96772,0.95905,0.97826,0.91714,0.25563,0.4884,0.23386,0.00761,0,0.000575525,0.000575525,0.000575525
68,27392.1,0.39335,0.65531,0.33871,0.00511,0.09855,0.95989,0.96492,0.97126,0.95223,0.96824,0.96477,0.97727,0.91433,0.2434,0.48345,0.21839,0.00719,0,0.000561593,0.000561593,0.000561593
69,27823.3,0.38713,0.6874,0.34167,0.00514,0.10056,0.95763,0.95885,0.97227,0.95149,0.96354,0.96485,0.97746,0.91487,0.25061,0.49254,0.24052,0.0076,0,0.000547728,0.000547728,0.000547728
70,28197.2,0.39235,0.66457,0.34438,0.00516,0.10037,0.9709,0.95779,0.97063,0.94983,0.97511,0.96201,0.97676,0.91246,0.25577,0.49226,0.22043,0.00769,0,0.00053394,0.00053394,0.00053394
71,28565.6,0.38424,0.65867,0.32852,0.00505,0.09416,0.95864,0.96472,0.96759,0.94568,0.96256,0.969,0.97283,0.90846,0.27169,0.48774,0.22849,0.00839,0,0.000520238,0.000520238,0.000520238
72,28955.4,0.37871,0.63341,0.31744,0.0049,0.08904,0.96199,0.96393,0.97248,0.95436,0.96608,0.96817,0.9779,0.91702,0.24908,0.48821,0.20536,0.00752,0,0.000506632,0.000506632,0.000506632
73,29342.7,0.38855,0.65759,0.34025,0.00503,0.09394,0.96141,0.961,0.9728,0.95244,0.966,0.96592,0.97813,0.91294,0.2428,0.48983,0.23597,0.00733,0,0.000493131,0.000493131,0.000493131
