epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,48691.5,0.51851,0.80841,0.5476,0.00737,0.16965,0.94565,0.91565,0.94929,0.90806,0.95105,0.92123,0.95592,0.87649,0.34097,0.60923,0.31748,0.01032,0,0.00107966,0.00107966,0.00107966
28,50226.8,0.5357,0.84235,0.55978,0.00758,0.17266,0.94703,0.92152,0.95963,0.91774,0.95168,0.92447,0.96552,0.88148,0.33459,0.62097,0.30964,0.0102,0,0.00107062,0.00107062,0.00107062
29,51793,0.51117,0.82988,0.52849,0.00723,0.16075,0.95202,0.90349,0.94942,0.91052,0.95911,0.91034,0.95546,0.86834,0.33961,0.61106,0.29101,0.00997,0,0.0010613,0.0010613,0.0010613
30,53415,0.52004,0.82894,0.54073,0.00732,0.16423,0.93398,0.92475,0.95672,0.91925,0.94041,0.93121,0.96215,0.87955,0.32332,0.62101,0.29929,0.00949,0,0.0010517,0.0010517,0.0010517
31,55048.8,0.51186,0.8544,0.53462,0.00718,0.16585,0.93103,0.90639,0.9541,0.91826,0.92927,0.92928,0.96077,0.88063,0.32738,0.58852,0.30511,0.00985,0,0.00104184,0.00104184,0.00104184
32,56736.2,0.50861,0.83676,0.52261,0.00717,0.16277,0.94466,0.94218,0.95937,0.91731,0.95166,0.94721,0.96484,0.87594,0.34734,0.58835,0.2826,0.01039,0,0.00103171,0.00103171,0.00103171
33,58280.6,0.49409,0.78337,0.50686,0.00684,0.15586,0.9497,0.93837,0.96249,0.93162,0.95474,0.94232,0.96791,0.89218,0.31125,0.57575,0.2554,0.00929,0,0.00102133,0.00102133,0.00102133
34,59827.6,0.49477,0.81219,0.49944,0.00698,0.15547,0.94367,0.92653,0.9596,0.92843,0.94961,0.93473,0.96642,0.8864,0.30679,0.61462,0.27146,0.00895,0,0.0010107,0.0010107,0.0010107
35,61574.6,0.48786,0.80587,0.484,0.00684,0.1483,0.95959,0.91926,0.95577,0.92199,0.96806,0.92624,0.96346,0.8855,0.31935,0.59286,0.2796,0.00976,0,0.000999833,0.000999833,0.000999833
36,63070.8,0.50147,0.81267,0.50713,0.00703,0.1549,0.9306,0.93998,0.95897,0.92673,0.94553,0.94093,0.96542,0.89078,0.3248,0.59132,0.28169,0.00982,0,0.000988731,0.000988731,0.000988731
37,64826.5,0.49015,0.8153,0.49412,0.00686,0.1489,0.93555,0.9293,0.95659,0.91972,0.9403,0.93662,0.96388,0.88519,0.33475,0.59114,0.29511,0.0105,0,0.000977404,0.000977404,0.000977404
38,66578.6,0.49166,0.8205,0.50924,0.00692,0.15176,0.93442,0.9446,0.96256,0.93082,0.94108,0.94971,0.9673,0.88489,0.31545,0.59465,0.27328,0.00956,0,0.000965859,0.000965859,0.000965859
39,68155.7,0.47823,0.78866,0.48451,0.00669,0.15177,0.95015,0.93959,0.96496,0.93669,0.95725,0.94633,0.96901,0.89749,0.30021,0.59082,0.24989,0.00885,0,0.000954105,0.000954105,0.000954105
40,69826.8,0.47897,0.79554,0.47524,0.00663,0.14185,0.95739,0.93572,0.96197,0.93111,0.96244,0.94127,0.96741,0.89217,0.30439,0.57754,0.24593,0.00918,0,0.000942149,0.000942149,0.000942149
41,71447.6,0.47967,0.77575,0.46421,0.00667,0.14029,0.94815,0.9394,0.96058,0.92941,0.95307,0.94437,0.9653,0.89357,0.30009,0.58594,0.25235,0.00915,0,0.00093,0.00093,0.00093
42,73191.3,0.47369,0.78224,0.46481,0.0065,0.13863,0.93616,0.94397,0.95965,0.92874,0.94374,0.94913,0.96555,0.8973,0.30382,0.58524,0.26822,0.00912,0,0.000917666,0.000917666,0.000917666
43,74990.5,0.47647,0.77653,0.45836,0.00652,0.13625,0.95003,0.93156,0.96209,0.93197,0.95718,0.93858,0.96751,0.89347,0.3026,0.58185,0.248,0.00906,0,0.000905155,0.000905155,0.000905155
44,76867.7,0.47887,0.801,0.46055,0.00659,0.14033,0.95026,0.93427,0.96234,0.93409,0.95645,0.94068,0.96759,0.89846,0.29787,0.59011,0.24183,0.00882,0,0.000892476,0.000892476,0.000892476
45,78707.6,0.45342,0.75869,0.43406,0.00615,0.13113,0.95851,0.92739,0.9653,0.93575,0.96512,0.93348,0.96977,0.89943,0.30056,0.56643,0.25165,0.00898,0,0.000879638,0.000879638,0.000879638
46,80557.4,0.45119,0.77102,0.4448,0.00623,0.13039,0.94635,0.94439,0.96412,0.9373,0.95112,0.94962,0.96956,0.89728,0.28234,0.56902,0.23558,0.00831,0,0.000866649,0.000866649,0.000866649
47,82289.1,0.45556,0.74564,0.4417,0.00629,0.12785,0.94057,0.95956,0.96676,0.93987,0.94568,0.96526,0.97147,0.901,0.28086,0.5828,0.23537,0.00818,0,0.000853519,0.000853519,0.000853519
48,84123.1,0.45701,0.76506,0.43446,0.00621,0.12958,0.95702,0.94537,0.96575,0.94065,0.96404,0.95278,0.97079,0.89967,0.27382,0.57925,0.23445,0.00798,0,0.000840256,0.000840256,0.000840256
49,85898.4,0.45037,0.75585,0.43511,0.00622,0.13054,0.95766,0.93875,0.96575,0.94191,0.96461,0.94537,0.96957,0.90117,0.27436,0.59782,0.22367,0.00808,0,0.000826869,0.000826869,0.000826869
50,88055.5,0.44562,0.74792,0.42466,0.00605,0.1262,0.91533,0.95012,0.96678,0.93613,0.92015,0.95518,0.97003,0.89988,0.27768,0.58133,1.62928,0.0081,0,0.000813368,0.000813368,0.000813368
51,89753.1,0.4396,0.73112,0.42347,0.00592,0.12384,0.95926,0.92512,0.96433,0.93899,0.96663,0.93253,0.96875,0.90112,0.27837,0.58814,0.25068,0.00808,0,0.000799762,0.000799762,0.000799762
52,91367.2,0.43626,0.74596,0.41435,0.00595,0.1287,0.95214,0.94672,0.96436,0.93516,0.95846,0.95285,0.97016,0.90157,0.28708,0.57093,0.248,0.00847,0,0.00078606,0.00078606,0.00078606
53,92873.5,0.43066,0.73749,0.41059,0.00588,0.12212,0.95409,0.95459,0.96694,0.94233,0.95864,0.95926,0.9726,0.90745,0.28068,0.58091,0.22536,0.00829,0,0.000772272,0.000772272,0.000772272
54,94476.6,0.436,0.74355,0.40907,0.00587,0.12724,0.95662,0.94892,0.96496,0.93412,0.96139,0.95393,0.96896,0.90398,0.2913,0.59763,0.24592,0.00866,0,0.000758407,0.000758407,0.000758407
55,96048.7,0.42306,0.69299,0.398,0.00572,0.11235,0.95784,0.94729,0.96352,0.93869,0.96347,0.95412,0.969,0.9054,0.27476,0.58991,0.23247,0.00814,0,0.000744475,0.000744475,0.000744475
56,97558.6,0.43236,0.73651,0.40365,0.00589,0.1177,0.96305,0.93845,0.96489,0.93849,0.95865,0.95345,0.97005,0.90296,0.28077,0.58159,0.23878,0.00814,0,0.000730484,0.000730484,0.000730484
57,99168.6,0.42992,0.73863,0.38486,0.00578,0.11222,0.95289,0.95034,0.96809,0.9453,0.95892,0.95579,0.97265,0.91389,0.26738,0.56352,0.22949,0.0078,0,0.000716445,0.000716445,0.000716445
58,100749,0.41935,0.73512,0.38334,0.00569,0.11398,0.96142,0.95077,0.96516,0.94045,0.9663,0.95569,0.97042,0.91117,0.2751,0.58253,0.21995,0.00825,0,0.000702368,0.000702368,0.000702368
59,102271,0.41601,0.72295,0.37492,0.00564,0.10804,0.96075,0.93883,0.96464,0.94295,0.96415,0.94409,0.96907,0.90953,0.25721,0.56136,0.24751,0.00757,0,0.000688261,0.000688261,0.000688261
60,103760,0.41185,0.70798,0.35836,0.00552,0.1077,0.95632,0.9398,0.96511,0.94196,0.96291,0.94654,0.97067,0.90929,0.26755,0.56196,0.23385,0.00778,0,0.000674136,0.000674136,0.000674136
61,105323,0.40571,0.68577,0.36939,0.00547,0.10743,0.95299,0.94483,0.96361,0.94198,0.95912,0.9514,0.96864,0.90942,0.26951,0.58493,0.22555,0.00785,0,0.00066,0.00066,0.00066
62,107006,0.41779,0.72255,0.39202,0.00572,0.11313,0.949,0.95215,0.96356,0.94331,0.95549,0.95806,0.96878,0.90877,0.25351,0.58415,0.21692,0.00739,0,0.000645864,0.000645864,0.000645864
63,108444,0.40989,0.69536,0.36773,0.00547,0.109,0.95653,0.95115,0.96504,0.94357,0.96255,0.95762,0.97097,0.89766,0.26015,0.64318,0.22586,0.00753,0,0.000631739,0.000631739,0.000631739
64,110041,0.40549,0.71227,0.35957,0.0055,0.1036,0.95356,0.95308,0.96506,0.94174,0.95867,0.95839,0.97022,0.90459,0.26092,0.55698,0.22968,0.00749,0,0.000617632,0.000617632,0.000617632
