epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3706.1,0.91245,1.79832,2.95273,0.01237,2.02419,0.56475,0.47113,0.48499,0.38712,0.57609,0.47605,0.49595,0.36619,0.76138,1.29455,1.72033,0.0211,0,0.000398701,0.000398701,0.0671736
2,7028.11,0.87503,1.3996,1.60289,0.0121,0.65477,0.55223,0.48315,0.51317,0.40066,0.55896,0.49523,0.52758,0.39572,0.88005,1.2857,1.69399,0.02504,0,0.000798578,0.000798578,0.0342401
3,10094.5,0.87184,1.289,1.33941,0.01197,0.54114,0.66779,0.71978,0.74321,0.58727,0.67942,0.71815,0.7509,0.57551,0.8041,1.12346,1.04644,0.02275,0,0.00119796,0.00119796,0.00130619
4,22204.8,0.81815,1.27161,1.20432,0.01112,0.47805,0.72403,0.65192,0.73833,0.58567,0.75031,0.65405,0.75101,0.54994,0.78491,1.40644,1.32847,0.02176,0,0.00119834,0.00119834,0.00119834
5,25086.4,0.79459,1.21078,1.09192,0.01052,0.41225,0.80319,0.81367,0.85008,0.709,0.81874,0.82649,0.86866,0.68622,0.66116,0.97401,0.65693,0.01755,0,0.00119704,0.00119704,0.00119704
6,27952.2,0.77224,1.18677,0.99791,0.01034,0.36341,0.77406,0.78937,0.84965,0.70655,0.78593,0.80412,0.86515,0.68112,0.66057,0.96534,0.70399,0.01736,0,0.00119538,0.00119538,0.00119538
7,30259.8,0.75024,1.14365,0.94172,0.01006,0.34068,0.83021,0.7891,0.85887,0.7127,0.84198,0.80294,0.86413,0.69704,0.67995,0.97104,0.64034,0.01805,0,0.00119335,0.00119335,0.00119335
8,32783.1,0.75029,1.15471,0.93204,0.00974,0.32339,0.80038,0.80534,0.85245,0.72438,0.81445,0.80192,0.86149,0.70114,0.63397,0.93153,0.69308,0.01665,0,0.00119096,0.00119096,0.00119096
9,35152.7,0.72509,1.11602,0.8734,0.00949,0.30416,0.86712,0.83547,0.8962,0.75426,0.87438,0.84222,0.90947,0.74542,0.64409,0.93739,0.54668,0.01718,0,0.0011882,0.0011882,0.0011882
10,37670.2,0.70729,1.10218,0.85944,0.00933,0.28282,0.85141,0.81633,0.89307,0.7421,0.85351,0.82187,0.89033,0.7148,0.67982,1.03026,0.62646,0.01805,0,0.00118508,0.00118508,0.00118508
11,40013.5,0.70541,1.08878,0.81583,0.00915,0.2733,0.85766,0.84942,0.89336,0.77537,0.86808,0.84716,0.89938,0.7333,0.57979,0.90126,0.49923,0.01484,0,0.0011816,0.0011816,0.0011816
12,42261.2,0.68361,1.05182,0.76566,0.00885,0.24528,0.8639,0.86704,0.91523,0.77548,0.87866,0.87869,0.9209,0.74277,0.63309,0.89816,0.52673,0.01639,0,0.00117776,0.00117776,0.00117776
13,44675.3,0.68266,1.06856,0.76055,0.00875,0.24165,0.86175,0.85512,0.90086,0.76765,0.87695,0.86865,0.91095,0.74058,0.60114,0.93737,0.56787,0.01558,0,0.00117357,0.00117357,0.00117357
14,47160.3,0.68007,1.05421,0.74493,0.00875,0.23888,0.90482,0.84159,0.91966,0.78362,0.89044,0.85652,0.91568,0.74513,0.59958,0.91437,0.50758,0.01554,0,0.00116903,0.00116903,0.00116903
15,49693.4,0.67413,1.0475,0.75354,0.00859,0.22721,0.90548,0.86407,0.91632,0.80011,0.90646,0.86659,0.91996,0.76435,0.54913,0.86946,0.4806,0.01431,0,0.00116413,0.00116413,0.00116413
16,51933.5,0.64797,1.02864,0.71715,0.00843,0.22179,0.87495,0.83962,0.90487,0.79429,0.89295,0.84962,0.91259,0.76148,0.55209,0.87524,0.49707,0.01416,0,0.00115889,0.00115889,0.00115889
17,54395.4,0.6589,1.01072,0.69617,0.0084,0.21234,0.91927,0.8752,0.93259,0.81801,0.91136,0.87869,0.92732,0.77704,0.53344,0.86696,0.44808,0.01293,0,0.00115331,0.00115331,0.00115331
18,56684.3,0.63352,1.00538,0.6712,0.00799,0.19727,0.87978,0.89105,0.92094,0.8079,0.89805,0.90099,0.9284,0.76992,0.55647,0.88349,0.46065,0.01351,0,0.0011474,0.0011474,0.0011474
19,59093.4,0.63616,0.987,0.67997,0.00806,0.20576,0.89957,0.90136,0.92737,0.81642,0.90667,0.90614,0.93072,0.78807,0.55517,0.88596,0.42701,0.0148,0,0.00114114,0.00114114,0.00114114
20,61300.6,0.63482,1.00255,0.67261,0.008,0.1978,0.90816,0.89232,0.92906,0.83001,0.91471,0.89662,0.93364,0.78726,0.50198,0.8526,0.42233,0.01266,0,0.00113456,0.00113456,0.00113456
21,63551,0.61701,0.97174,0.6383,0.00793,0.19355,0.897,0.88949,0.92685,0.8145,0.90136,0.89548,0.92363,0.77458,0.53918,0.8781,0.45031,0.01408,0,0.00112765,0.00112765,0.00112765
22,65890.9,0.61578,0.9547,0.60961,0.00775,0.18039,0.89187,0.91693,0.93695,0.84426,0.89407,0.91345,0.93015,0.78541,0.48484,0.8389,0.41824,0.01176,0,0.00112043,0.00112043,0.00112043
23,68079.1,0.61034,0.96844,0.61423,0.00762,0.17988,0.89154,0.89313,0.92214,0.82651,0.89595,0.89469,0.9284,0.77641,0.50247,0.86977,0.45778,0.01207,0,0.00111288,0.00111288,0.00111288
24,70480.1,0.61747,0.96691,0.62679,0.00776,0.18464,0.92143,0.89687,0.93546,0.83685,0.92046,0.90592,0.93281,0.77936,0.49942,0.87102,0.42688,0.01196,0,0.00110503,0.00110503,0.00110503
25,73063.3,0.59884,0.94154,0.58893,0.00744,0.17548,0.90635,0.9027,0.92994,0.8315,0.89881,0.91086,0.92695,0.78956,0.51762,0.84874,0.40467,0.0128,0,0.00109687,0.00109687,0.00109687
26,75314.1,0.60134,0.96368,0.59882,0.00756,0.17295,0.91785,0.89401,0.93927,0.83638,0.9181,0.89339,0.93505,0.79172,0.51143,0.82521,0.41181,0.01233,0,0.00108841,0.00108841,0.00108841
27,77574.1,0.5901,0.93944,0.58521,0.00738,0.175,0.90734,0.89753,0.93421,0.82867,0.90803,0.89762,0.93514,0.7943,0.52954,0.86713,0.43582,0.01307,0,0.00107966,0.00107966,0.00107966
28,79932.9,0.59137,0.93799,0.56886,0.0074,0.16527,0.90845,0.89685,0.93385,0.84297,0.915,0.90097,0.93793,0.79646,0.4806,0.85383,0.39606,0.01163,0,0.00107062,0.00107062,0.00107062
29,82274.6,0.57849,0.91566,0.5668,0.00716,0.16978,0.92799,0.8809,0.93381,0.83837,0.92676,0.88176,0.93274,0.78175,0.49335,0.84963,0.41787,0.01195,0,0.0010613,0.0010613,0.0010613
30,84949.8,0.57685,0.91339,0.5548,0.00709,0.15916,0.92887,0.90909,0.93512,0.84876,0.93706,0.91035,0.93628,0.79831,0.48318,0.84481,0.39849,0.01162,0,0.0010517,0.0010517,0.0010517
31,87400.8,0.5696,0.9138,0.55901,0.00705,0.15773,0.92889,0.92483,0.94071,0.84189,0.93081,0.92549,0.93722,0.79008,0.4908,0.84868,0.39841,0.01185,0,0.00104184,0.00104184,0.00104184
32,90117.4,0.56813,0.926,0.55219,0.0071,0.1566,0.9256,0.9051,0.93867,0.84849,0.92928,0.9055,0.93725,0.79012,0.48035,0.85857,0.39762,0.0116,0,0.00103171,0.00103171,0.00103171
33,92481.4,0.55953,0.90691,0.53863,0.00694,0.15329,0.93089,0.89926,0.9371,0.8374,0.92528,0.90487,0.93754,0.79246,0.50686,0.82822,0.41461,0.01248,0,0.00102133,0.00102133,0.00102133
34,94997.9,0.55827,0.91032,0.56016,0.00694,0.16094,0.92684,0.90845,0.9424,0.84839,0.92568,0.90886,0.93708,0.79858,0.49807,0.8327,0.37153,0.01222,0,0.0010107,0.0010107,0.0010107
35,97079.7,0.55615,0.88295,0.5179,0.00677,0.14344,0.92676,0.89908,0.94133,0.84405,0.92611,0.90119,0.93796,0.80438,0.49157,0.81441,0.3925,0.01195,0,0.000999833,0.000999833,0.000999833
